,categoria,cilindrada,quilometragem,ano,url,preco,diferenca_de_preco
1506,Motos,300,29500.0,2014,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/vendo-ou-troco-727432676,8500.0,1206.2133111526728
525,Motos,300,39400.0,2014,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300r-2014-730105408,8650.0,1357.0896351834472
2138,Motos,300,750.0,2010,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300-2010-top-726011773,9500.0,1575.5652111439485
4142,Motos,300,24000.0,2015,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300r-2015-719809766,9000.0,1709.1343912552547
619,Motos,300,112.0,2014,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/motocicletas-729149885,9000.0,1709.1343912552547
304,Motos,300,31000.0,2014,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/honda-cb300-2014-730391776,9000.0,1709.1343912552547
3239,Motos,300,50000.0,2014,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb300r-vermelha-2014-722901961,9000.0,1709.1343912552547
4214,Motos,300,52000.0,2015,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/vendo-719454841,9300.0,2010.8870393168036
3734,Motos,300,49000.0,2014,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb300r-721249397,9400.0,2111.4712553373192
224,Motos,300,46000.0,2014,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/2014-honda-cb-300r-flex-730510102,9500.0,2212.055471357836
1550,Motos,300,24000.0,2015,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300-otimo-estado-727363009,9500.0,2212.055471357836
1797,Motos,300,39000.0,2014,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300r-indaiatuba-sp-726802508,9500.0,2212.055471357836
2489,Motos,300,47000.0,2015,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb300r-725130297,9500.0,2212.055471357836
313,Motos,300,75000.0,2014,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300-abs-2014-top-730384258,9590.0,2302.581265776301
1540,Motos,300,47650.0,2015,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb300r-2015-barato-pra-sair-logo-727377144,9700.0,2413.223903398868
1125,Motos,300,10800.0,2011,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300r-2011-gasolina-728310633,10900.0,2505.942649441802
2049,Motos,300,57000.0,2015,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/venda-726235481,9800.0,2513.8081194193846
2323,Motos,300,15000.0,2014,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/honda-cb-300r-2014-725607466,9900.0,2614.392335439901
1740,Motos,300,20000.0,2015,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/vendo-cb300r-vermelha-2015-726941704,10000.0,2714.976551460417
829,Motos,300,66060.0,2015,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/honda-cb-300r-com-abs-2015-728796413,10490.0,3207.8392099609473
2140,Motos,300,27000.0,2014,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/venda-ou-troca-726009757,10500.0,3217.897631562999
1471,Motos,300,70000.0,2015,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb300r-2015-727493216,10500.0,3217.897631562999
1822,Motos,300,29000.0,2015,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb300r-2015-726735088,10500.0,3217.897631562999
2144,Motos,300,18000.0,2014,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300r-725992701,10500.0,3217.897631562999
3813,Motos,300,51000.0,2015,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/moto-720915691,11000.0,3720.81871166558
3299,Motos,300,25000.0,2015,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/moto-troca-por-xre-722683614,11000.0,3720.81871166558
2664,Motos,300,51500.0,2014,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/cb-300-724550786,11000.0,3720.81871166558
1202,Motos,300,40000.0,2014,https://sp.olx.com.br/grande-campinas/autos-e-pecas/motos/moto-728180749,11900.0,4626.076655850226
